Photography,Rating,Location,Reviews,Price Per Day,Usefull,per day,Email_id,Contact,Instagram Link,Facebook Link,Website Link
Venkat Photography,Visakhapatnam,No Reviews,Photo + Video,"37,000",per day,None,,,https://www.instagram.com/venkat_photography_hyd/?hl=en,https://www.facebook.com/TammanaVenkatOfficial/photos/,
Focus Photography,Visakhapatnam,No Reviews,Photo + Video,"50,000",per day,None,,,https://www.instagram.com/focusphotographyservice/?hl=en,https://www.facebook.com/FOCUS8055/,
Hari Krishna Photography,Madhurawada,No Reviews,Photo + Video,"37,000",per day,None,,,None,https://www.facebook.com/pages/category/Local-Business/Hari-Krishna-Photography-154291614756749/,
Aaradhya Photography,Akkayyapalem,No Reviews,Photo + Video,"70,000",per day,None,,,https://www.instagram.com/aaradhya.photography/?hl=en,https://www.facebook.com/pages/category/Photography-Videography/Aaradhya-Photography-1470865409897048/,
Lavanya Digital Studio,Visakhapatnam,No Reviews,Photo + Video,"38,000",per day,None,,,None,https://www.facebook.com/lavanyastudio.penugonda/,
Colors Of Wedding,Dwaraka Nagar,No Reviews,Photo + Video,"46,500",per day,None,,,None,None,
Filmoid Photography,Visakhapatnam,No Reviews,Photo + Video,"85,000",per day,None,,,None,https://www.facebook.com/filmoidphotography,
Tara Photography,Dwaraka Nagar,No Reviews,Photo + Video,"85,000",per day,None,,,None,https://www.facebook.com/TARA-PHOTOGRAPHY-464190460387205/,
Raghav Photography,MVP Colony,No Reviews,Photo + Video,"43,000",per day,None,,,https://www.instagram.com/raghavphotography/?hl=en,https://www.facebook.com/RaghavPhotos/,
Paandu Studio,Maddilapalem,No Reviews,Photo + Video,"26,000",per day,None,,,None,None,
Focus For You Digital Photo Studio,Visakhapatnam,No Reviews,Photo + Video,"40,000",per day,None,,,None,https://www.facebook.com/cinefocusservces/,
Naidu Photography,Visakhapatnam,No Reviews,Photo + Video,"80,000",per day,None,,,https://www.instagram.com/vizagnaidu.photography/?hl=en,https://www.facebook.com/PVKMNAIDU/,
Colours Wedding Photography,Bheemili,No Reviews,Photo + Video,"75,000",per day,None,,,None,https://www.facebook.com/colourzphotographykayiliad/,
